Date,CYPH.US,DVLT.US,FAT.US,GNPX.US,HBIO.US,PHIO.US,QCLS.US,RANI.US,RLMD.US,RVYL.US,SBLX.US,SEGG.US,SGBX.US,SLNH.US,SLRX.US,SONN.US,TEAD.US,THAR.US,TRUG.US,TYGO.US,UGRO.US,VEEE.US,VIVK.US,VSTD.US,WKHS.US,WORX.US,ZYXI.US,DZZ.US,MSOX.US,SOC.US,SPRU.US,TE.US
2022-09-13,13.0,8769.0,4.27804,3430.0,3.12,77.7708,10200.0,9.54,31.05,11.1,104.243,64.9,2867.2,66.5,647.7,517.194,4.14,382.5,503.5,10.0,3.06,43.4,1.56673,8.05,762.5,10.5,9.04,3.095,446.424,9.83,8.88,12.98
2022-10-04,9.18,9762.0,3.82089,2900.0,2.67,60.2748,9420.0,9.97,33.16,11.4,78.08,53.22,2380.8,47.75,570.6,283.36,3.94,307.5,504.0,10.04,3.16,24.2,1.11219,3.2,745.0,10.95,9.73,3.0602,298.366,9.84,7.24,16.08
2022-10-05,8.971,9900.0,3.80598,2940.0,2.46,58.4496,9000.0,9.51,34.4,10.9,77.2224,55.98,2291.2,48.0,729.0,288.64,4.12,305.812,504.0,10.04,3.3,22.0,1.06654,3.108,695.0,10.5,9.51,3.1442,280.618,9.85,7.2128,15.94
2022-10-12,8.621,8947.5,3.35881,2580.0,2.29,62.4996,7020.0,8.04,31.69,9.501,67.2,61.56,2291.2,40.25,673.236,223.52,3.94,258.262,504.0,10.03,3.82,20.0,1.04449,2.6,600.0,9.663,8.74,3.26,303.0,9.88,6.56,13.73
2022-10-17,8.982,8565.0,3.49792,2740.0,2.34,60.8688,7650.0,7.44,6.79,10.5,68.7872,61.84,2048.0,46.5,600.0,225.28,4.2,247.537,504.5,10.05,4.14,20.2,0.967118,2.66875,607.5,9.4695,9.12,3.325,305.6,9.89,6.24,13.32
2022-10-21,8.747,8445.0,3.36873,2560.0,2.26,62.7588,8400.0,7.08,7.01,8.985,71.7696,63.12,1971.2,45.0,260.268,205.92,4.14,243.75,504.0,10.045,4.56,20.4,1.0735,2.8,595.0,9.45,9.0,3.29,372.0,9.905,6.1984,12.58
2022-10-26,8.652,8251.5,3.77616,2720.0,2.41,60.696,7230.0,5.81,6.94,9.678,79.3856,64.04,2112.0,29.75,291.6,204.16,4.22,247.5,504.0,10.05,4.36,22.1,1.09284,2.85,665.0,9.3015,9.15,3.3078,351.764,9.94,6.632,12.48
2022-10-27,8.675,8400.0,3.97492,2740.0,2.52,63.5148,7950.0,6.03,6.33,9.394,74.88,72.9,2086.4,28.0,249.6,205.92,4.2,243.0,503.5,10.0591,4.03,20.6,1.1412,2.975,647.5,9.543,9.21,3.3231,330.2,9.955,6.4696,12.92
2022-10-31,8.51,8250.0,4.12894,2720.0,2.69,62.1,8310.0,6.1,6.39,9.663,78.464,76.0,2073.6,27.75,243.6,339.68,4.28,209.175,503.5,10.07,4.06,21.6,1.16054,3.325,675.0,9.0315,11.4,3.5,372.8,9.95,6.32,13.31
2022-11-02,8.059,6450.0,3.73145,2660.0,2.68,63.4932,7500.0,6.38,6.37,9.103,76.7744,73.86,2048.0,26.5,251.292,360.8,4.2,202.537,504.0,10.08,3.92,21.5,1.05426,3.1,662.5,9.0,12.56,3.38,318.64,9.94,6.6016,12.65
2022-11-03,8.12,5700.0,3.73145,2620.0,2.65,61.6356,7470.0,7.06,6.7,9.403,73.28,66.0,2060.8,26.75,244.8,306.24,3.95,195.0,503.5,10.08,3.82,20.7,1.06867,3.25,650.0,9.0,12.08,3.5213,341.242,9.95,6.56,12.94
2022-11-07,7.66,5850.0,3.59232,2580.0,2.51,61.1604,7170.0,6.53,5.96,9.138,72.32,62.98,2048.0,25.75,233.4,286.88,3.93,200.775,504.5,10.0899,4.0,21.9,1.12186,3.3,690.0,9.447,13.24,3.3249,334.4,9.945,6.48,12.54
2022-11-10,6.195,5025.0,3.52277,2640.0,2.34,58.32,6810.0,6.35,5.84,8.103,70.4128,60.1,1664.0,21.425,229.2,221.76,4.4,140.625,505.0,10.08,4.14,20.8,1.15087,3.625,685.0,8.7615,13.4,2.91,390.6,10.0,6.9664,13.16
2022-11-14,7.051,4707.0,3.62711,2840.0,2.65,53.2224,6150.0,7.0,6.18,9.2,74.2912,60.42,1728.0,21.38,232.8,216.48,4.22,176.43,505.0,10.08,4.1,21.6,1.1412,3.75025,675.0,8.55,13.18,2.8553,400.0,10.03,10.08,15.16
2022-11-18,6.059,4350.0,3.2573,2560.0,2.28,43.2,6150.0,7.39,5.94,9.424,71.04,51.8,1664.0,22.2325,230.4,202.4,4.08,159.9,505.0,10.17,4.44,19.6,0.951064,3.55,607.5,7.9725,13.85,2.9333,412.8,10.03,7.604,13.75
2022-11-22,5.6,2947.5,3.35862,2540.0,2.43,43.2,6330.0,7.37,5.65,7.62,73.5616,51.44,1894.4,19.2375,252.0,174.152,4.17,158.812,508.0,10.175,4.33,19.9,0.899323,4.075,562.5,7.3515,13.73,2.99,399.8,10.04,7.68,14.13
2022-11-23,5.743,2550.0,3.51313,2637.8,2.44,44.28,6510.0,7.89,5.25,7.9,74.24,58.0,1753.6,19.8275,246.6,175.208,4.1,150.225,509.0,10.175,4.34,19.7,0.875725,4.1,542.5,7.875,13.84,2.92,425.6,10.05,7.76,14.48
2022-11-25,5.863,2628.0,3.4726,2580.0,2.41,43.7292,6720.0,8.0,5.25,7.7,74.1248,58.0,1715.2,19.9225,249.6,175.102,4.04,150.15,509.75,10.17,4.56,20.1,0.98646,4.1785,540.0,8.055,13.53,2.959,438.522,10.055,7.0416,14.61
2022-11-28,5.511,3000.0,3.47513,2640.0,2.27,43.2108,6270.0,8.02,4.9,7.238,72.96,60.44,1612.8,18.755,243.6,177.76,3.64,149.737,510.5,10.18,4.45,20.0,0.971954,3.95,522.5,7.4505,13.51,2.99,414.728,10.05,7.28,13.63
2022-11-29,5.521,2476.5,3.4194,2620.0,2.35,43.7292,6120.0,8.11,4.59,6.886,74.8928,57.16,1587.2,19.15,235.2,176.0,3.68,146.25,510.5,10.18,4.51,19.921,1.17988,4.025,522.5,7.2285,13.49,2.955,426.2,10.13,7.52,13.14
2022-12-07,4.8,1665.15,3.02934,2540.0,2.61,41.5476,4410.0,8.28,4.16,6.088,71.7952,57.18,1587.2,14.7375,189.6,183.04,3.55,164.587,509.0,10.21,4.64,20.9,1.23791,3.525,477.5,8.7,13.96,2.88,361.0,10.11,7.304,11.24
2022-12-09,4.98,1650.0,3.19145,2530.0,2.76,42.3225,4710.0,7.97,2.68,6.001,73.2032,56.58,1561.6,12.1875,220.8,179.52,3.4,228.562,509.0,10.22,4.48,20.0,1.09284,3.5,460.0,7.65,13.34,2.81,291.0,9.91,7.3264,10.98
2022-12-13,4.905,1777.5,3.13066,2286.6,2.36,43.2,4230.0,8.2,3.39,5.3,66.6112,55.0,1600.0,10.5025,213.6,176.0,3.47,215.962,512.0,10.21,4.1,18.6,1.11219,3.625,475.0,7.6515,13.65,2.815,223.2,10.03,7.44,11.09
2022-12-15,5.002,1695.0,3.00402,2380.0,2.4,38.8908,4050.0,8.0,3.14,5.323,65.5872,55.0558,1561.6,10.0,181.2,170.72,3.39,163.125,512.0,10.25,3.21,18.1,1.06383,3.375,475.0,7.35,13.87,2.95,182.0,9.995,6.72,10.89
2022-12-16,4.655,1575.0,2.98881,2360.0,2.24,41.148,3870.0,7.16,3.37,5.653,64.896,55.6,1561.6,9.5,180.0,169.488,3.97,153.75,509.5,10.3,3.49,17.0,1.17021,3.125,487.5,7.2,13.32,2.9289,209.2,10.0,6.92,10.46
2022-12-19,4.559,1389.0,2.82672,2180.0,2.14,42.0876,3540.0,7.04,2.93,4.901,60.3648,48.44,1561.6,7.95,172.8,168.485,3.83,140.812,512.5,10.51,3.35,16.7,1.15087,3.1,442.5,6.42,13.58,2.91,138.8,10.0326,6.752,9.86
