Date,AVXL.US,BGMS.US,BKYI.US,BLNE.US,BOXL.US,CODX.US,CYPH.US,DVLT.US,ENTO.US,EQ.US,FRGT.US,GNPX.US,GREE.US,HBIO.US,HYPD.US,IBIO.US,IRWD.US,KALA.US,LMFA.US,PHIO.US,QCLS.US,RLMD.US,RNTX.US,SBLX.US,SLRX.US,SONN.US,SSP.US,STIM.US,TPST.US,TRAW.US,TXMD.US,WKHS.US
2018-11-01,2.52,96480.0,155.52,1616.0,74.4,2.47,43.9,1443000.0,302400.0,14.98,182600.0,3360.0,66.514,4.01,296.0,376.05,13.54,389.0,58.5,2534.0,391800.0,4.64,42.0,1399.55,43866.0,133253.0,16.699,25.43,1973.79,2141.25,248.5,201.0
2018-11-02,2.55,93600.0,158.4,1530.0,75.2,2.36,43.6,1410000.0,292320.0,15.035,235400.0,3300.0,67.008,4.06,313.6,392.5,14.1,380.0,58.5,2514.46,391800.0,4.64,43.0,1401.6,46875.0,128128.0,16.585,24.69,2310.75,2100.0,250.0,209.825
2018-11-05,2.42,92160.0,164.16,1688.0,76.8,2.34,43.5,1464000.0,286020.0,16.34,211200.0,3260.0,66.761,4.1,306.4,390.0,14.13,373.0,58.05,2546.53,399180.0,4.64,43.2,1586.69,42750.0,138378.0,16.806,24.69,2281.5,2182.5,242.5,217.0
2018-11-06,2.475,91440.0,182.88,1680.0,148.0,2.33,42.6,1503000.0,289800.0,16.98,227700.0,3100.0,67.008,4.09,319.2,398.85,12.78,375.0,57.6,2494.8,455040.0,4.68,40.6,1532.67,42000.0,144144.0,16.98,25.63,2208.31,2081.25,234.5,206.25
2018-11-07,2.53,90000.0,182.88,1660.0,108.4,2.35,43.0,1419060.0,280980.0,17.1,236500.0,3100.0,67.008,4.16,315.0,395.0,11.92,380.5,57.6,2622.56,362310.0,4.68,41.0,1536.0,41874.0,135816.0,17.077,25.38,2197.39,2175.0,233.5,186.275
2018-11-08,2.57,90000.0,180.0,1640.0,126.0,2.3101,43.3,1311000.0,309960.0,16.99,215600.0,3020.0,70.688,4.09,320.0,395.1,12.08,382.5,56.697,2872.58,324000.0,4.68,42.6,1582.08,39006.0,133894.0,17.116,25.45,2253.42,2167.5,248.5,203.05
2018-11-09,2.61,90000.0,188.64,1590.0,116.0,2.31,41.6,1284000.0,308700.0,16.5,201300.0,2900.0,68.48,4.05,316.52,375.0,11.88,360.0,53.1,2572.02,341280.0,4.6,40.0,1580.67,38580.0,147988.0,16.256,24.75,2135.25,2152.5,246.5,222.5
2018-11-12,2.52,86760.0,158.4,1530.0,134.0,2.29,39.5,1344000.0,284760.0,15.6,201300.0,3000.0,68.48,4.0,249.6,375.0,11.27,323.5,51.0,2079.0,371520.0,4.68,36.4,1536.0,35256.0,151191.0,16.834,22.01,2106.0,1916.25,235.5,205.2
2018-11-13,2.44,86400.0,155.52,1600.0,121.2,2.21,38.8,1359000.0,293580.0,15.55,196900.0,2800.0,67.497,3.84,211.2,389.604,11.44,328.0,51.9,2081.59,354240.0,4.4,44.0,1520.64,35400.0,141882.0,16.844,21.66,2047.5,1567.5,238.0,215.375
2018-11-14,2.43,79920.0,162.72,1596.0,94.0,2.48,35.9,1335000.0,270900.0,15.89,181500.0,2640.0,67.25,3.65,247.2,370.0,11.12,317.0,53.4,1969.16,326880.0,4.92,44.2,1525.63,36000.0,125566.0,16.546,18.58,1959.75,1387.5,244.5,207.6
