Date,AAPL.US,MSFT.US,GOOGL.US,META.US,JNJ.US,UNH.US,PFE.US,JPM.US,BAC.US,BLK.US,GS.US,AMZN.US,HD.US,MCD.US,CAT.US,LMT.US,HON.US,XOM.US,CVX.US,COP.US
2012-05-18,15.9611,23.3948,14.9558,38.23,46.9439,43.8837,15.4984,24.9786,5.94291,122.427,79.6095,10.6925,37.035,66.6532,66.3824,59.4158,39.482,52.2722,64.0405,35.8508
2012-05-21,16.8913,23.7777,15.2976,34.03,47.0312,45.1507,15.475,24.2496,5.78265,119.451,80.4563,10.9055,37.4786,67.7066,68.8525,60.029,40.7692,52.6379,64.8423,36.5196
2012-05-22,16.7595,23.7865,14.9657,31.0,47.0704,45.2893,15.3579,25.3696,5.90913,116.337,81.3119,10.7665,37.9918,67.7597,68.4895,60.0691,40.947,52.5795,64.6024,36.4451
2012-05-23,17.1702,23.2717,15.1814,32.0,46.8841,44.9997,15.1676,25.5553,6.07018,119.268,81.7283,10.864,38.3598,67.8639,69.2214,59.823,41.1929,52.6379,64.3936,36.7437
2012-05-24,17.013,23.2364,15.037,33.03,47.2136,45.6997,15.2007,25.3372,6.04475,121.391,80.7474,10.762,39.1312,67.8993,68.4372,59.8377,40.9393,53.0026,65.0813,36.7757
2012-05-25,16.9222,23.2296,14.7345,31.91,46.7723,45.6133,15.192,24.9855,6.05339,122.02,80.617,10.6445,38.9191,67.5423,67.3284,59.3657,40.5677,52.6631,64.3029,36.7583
2012-05-29,17.2227,23.6282,14.8048,28.84,46.8321,45.6398,15.2281,25.0857,6.29899,124.332,81.9734,10.7375,39.4157,67.4321,69.258,60.0495,40.8902,52.5668,65.1983,37.5757
2012-05-30,17.4287,23.4513,14.6528,28.19,46.5457,45.6579,15.1315,24.5876,6.10377,121.597,79.2508,10.4615,39.3618,66.8449,67.506,60.1476,40.173,51.1957,63.5021,36.7079
2012-05-31,17.3842,23.3333,14.4691,29.6,46.7115,45.3348,15.0124,24.7251,6.23143,121.615,80.1652,10.6455,39.0692,66.7948,65.5862,60.1476,39.7902,50.4478,63.945,36.7872
2012-06-01,16.8825,22.7423,14.2229,27.72,46.224,44.7393,14.8544,23.8183,5.95146,118.593,77.6004,10.411,37.9751,64.8277,64.0187,58.9998,38.5617,49.9926,62.7071,36.1098
2012-06-04,16.9821,22.8203,14.4128,26.9,46.6458,44.6311,14.8357,23.1237,5.85002,117.493,76.2264,10.7285,38.612,64.5356,62.326,58.8791,38.0319,49.9382,62.8194,36.1842
2012-06-05,16.9389,22.7823,14.2085,25.87,46.5457,45.5438,14.8319,23.8655,6.01932,119.498,77.2408,10.6605,38.7367,65.1031,62.6199,58.7133,38.0959,49.7875,62.7598,36.5912
2012-06-06,17.1981,23.4601,14.4621,26.81,46.989,46.8991,15.0437,24.6672,6.47713,122.557,79.5429,10.882,40.0654,66.2883,64.871,59.8435,39.0723,51.4436,64.9125,37.7942
2012-06-07,17.2058,23.3636,14.4038,26.31,46.989,46.6969,15.0631,24.4756,6.29094,123.675,78.7382,10.94,40.5747,66.0749,65.2331,60.4018,39.5785,51.7723,65.2968,37.9575
2012-06-08,17.463,23.7034,14.4591,27.1,47.1253,47.146,15.2007,25.122,6.40937,124.97,79.1921,10.924,41.452,65.6077,65.5724,60.5058,40.0214,51.8686,65.5883,38.0686
2012-06-11,17.1892,23.0997,14.1612,27.0,46.4791,46.7035,15.1735,24.4825,6.17231,123.563,77.7317,10.825,40.6591,64.7392,63.7741,59.9035,39.4065,51.503,64.9837,38.0059
2012-06-12,17.3389,23.4112,14.0765,27.4,47.1969,47.0158,15.2369,25.1898,6.34987,124.342,78.7726,10.821,41.3657,65.4258,65.1631,60.5627,40.0689,52.139,65.523,38.5925
2012-06-13,17.2187,23.2863,13.9763,27.27,48.2236,47.3265,15.2369,25.5867,6.35841,123.547,77.668,10.7365,40.3598,65.769,63.8461,60.0564,39.4008,51.7354,65.1281,38.1615
2012-06-14,17.1999,23.4513,13.9255,28.29,48.9728,48.338,15.4906,25.8441,6.49392,124.09,78.5883,10.7225,41.3029,67.0781,64.295,60.5332,39.4758,52.6943,66.2896,38.5693
2012-06-15,17.2769,23.9985,14.062,30.01,49.3906,48.0502,15.5237,26.128,6.69739,126.994,80.1318,10.9175,41.0742,67.6612,65.0763,60.6216,40.0626,53.3945,67.86,39.1192
2012-06-18,17.6276,23.8518,14.2194,31.41,49.6073,48.4738,15.5297,25.8235,6.57878,124.647,78.4296,11.133,41.4295,67.4695,64.9332,61.5732,39.9461,53.3254,67.2934,38.8466
2012-06-19,17.6778,24.5396,14.4855,31.91,49.9212,49.1624,15.595,26.3914,6.87544,126.531,80.7228,11.2015,41.9437,66.9905,66.5037,61.9657,40.4471,54.2046,67.6825,39.2497
2012-06-20,17.6266,24.724,14.3858,31.6,50.13,48.6228,15.5628,27.1872,6.90088,126.253,80.8777,11.151,41.8328,66.2795,65.2559,61.4143,40.4164,54.5177,67.4045,38.4021
2012-06-21,17.3822,24.0932,14.079,31.84,49.6741,47.5981,15.517,26.4866,6.62974,122.841,78.656,11.0285,40.5904,65.5241,63.6143,61.2907,39.6249,52.6846,65.0559,37.2154
2012-06-22,17.5173,24.5396,14.2354,33.05,49.8545,48.1898,15.6077,26.8413,6.73148,123.61,78.4296,11.108,41.191,66.0552,63.6005,62.0021,39.6843,52.6846,65.3299,37.6734
2012-06-25,17.1762,23.8675,13.9668,32.06,49.7563,47.0653,15.4282,26.3472,6.44336,119.959,76.4096,11.0035,40.7955,65.8821,62.0497,61.2034,38.4023,52.1264,64.4433,37.3554
2012-06-26,17.2148,23.9985,14.066,33.1,49.6995,47.9704,15.4057,26.633,6.46044,120.864,76.249,11.2805,41.0831,66.6148,61.9304,60.5715,38.0732,52.8694,65.6635,37.8367
2012-06-27,17.2887,24.1156,14.1811,32.23,50.0114,48.3712,15.5237,27.4386,6.58732,119.572,78.1287,11.281,40.8182,66.0415,61.5693,61.6812,38.601,53.3828,66.7139,38.4097
2012-06-28,17.125,23.9054,14.0565,31.36,50.0859,48.6228,15.4672,26.7618,6.56178,119.35,78.3109,11.0655,40.9319,65.9264,61.8564,61.4074,37.8295,53.3177,67.2934,38.4649
2012-06-29,17.5745,24.4535,14.4496,31.09,50.5488,47.7245,15.7951,26.6516,6.93505,122.029,80.2975,11.4175,41.9604,66.1919,63.563,63.2598,39.9181,54.9038,68.6208,39.4149
2012-07-02,17.8326,24.4312,14.4596,30.77,50.8792,45.8983,15.7921,27.0624,6.82467,121.892,81.3608,11.466,41.9762,65.8536,62.6397,63.3167,39.4287,54.756,68.8569,39.3096
2012-07-03,18.0377,24.5884,14.6429,31.2,50.9096,44.7717,15.7043,26.9838,6.83321,124.933,82.5927,11.4765,40.8985,66.2234,64.7201,63.5708,39.7368,55.3561,69.8332,39.785
2012-07-05,18.355,24.5396,14.8442,31.47,50.7164,45.5296,15.5608,25.855,6.62974,123.435,80.3485,11.353,41.2636,66.7654,64.9698,63.201,40.0957,54.9048,68.968,38.9954
2012-07-06,18.2327,24.1242,14.5966,31.73,50.6067,45.5382,15.475,25.4983,6.49392,123.091,79.9682,11.2525,41.295,67.0319,63.3341,63.0951,39.2388,54.4078,68.339,38.6196
2012-07-09,18.4733,23.9838,14.5971,32.17,50.7164,45.7595,15.5471,25.5396,6.40937,123.508,79.1341,11.2525,41.2715,67.1381,62.2382,63.4845,39.4691,53.6716,67.9439,38.3237
2012-07-10,18.3027,23.7699,14.49,31.47,50.791,45.4433,15.4057,25.7626,6.34151,124.698,78.947,10.975,41.351,67.4745,60.0886,63.2157,38.3944,53.3254,67.5683,37.7257
2012-07-11,18.1884,23.42,14.2284,30.97,50.8037,45.7214,15.3384,26.017,6.46869,125.884,79.683,10.9185,40.9172,66.9345,59.6881,63.0851,38.3874,54.1404,68.1946,38.344
2012-07-12,18.0229,22.8899,14.2105,30.81,50.6615,44.5192,15.5628,25.6024,6.34151,123.925,78.7539,10.768,40.8182,68.7314,59.6131,62.4867,38.3176,53.9732,68.3155,38.0726
2012-07-13,18.2042,23.4905,14.3609,30.72,51.3344,45.0347,15.6585,27.1272,6.62974,126.336,81.6137,10.9195,41.246,68.9989,61.4381,63.3824,39.019,54.8396,68.9544,38.7809
2012-07-16,18.2642,23.5325,14.3211,28.25,51.2175,45.0015,15.881,26.3933,6.6214,125.976,81.8244,10.8005,40.7416,68.5209,60.7446,63.303,38.946,54.5712,69.4586,39.1221
2012-07-17,18.2652,23.7093,14.3659,28.09,51.6256,45.6007,16.2118,26.3147,6.71448,126.567,82.0752,10.8465,40.1616,68.6999,61.3138,63.513,38.9891,55.0069,69.8742,39.7039
2012-07-18,18.2435,24.3382,14.4666,29.11,51.9041,45.9712,16.2508,26.294,6.38404,125.81,80.8443,10.8735,40.3117,68.9478,62.1681,64.3596,41.5907,55.3113,70.1717,40.0469
2012-07-19,18.4881,24.5151,14.773,29.0,52.0237,44.8583,16.3425,25.9188,6.15484,126.551,79.5782,11.3085,40.3539,69.351,62.251,64.2997,41.4251,55.3132,70.79,40.2295
2012-07-20,18.1846,24.0687,15.2154,28.76,51.3491,45.2067,16.2713,25.4983,5.99427,124.561,78.8764,11.4145,40.1459,68.4698,60.9863,63.717,41.2755,55.1488,71.0251,39.9599
2012-07-23,18.1716,23.4026,15.3324,28.75,50.9617,44.4678,16.202,25.905,6.01097,119.905,78.0355,11.3005,40.3539,66.4959,61.4589,63.1362,41.0625,54.6704,70.2155,39.2884
2012-07-24,18.0839,23.3022,15.1347,28.45,50.3928,44.7889,16.0547,26.1202,5.96845,118.167,79.1341,11.152,40.5178,65.8388,61.3464,63.7729,40.518,54.2658,69.1387,38.9954
2012-07-25,17.3035,23.0441,15.1451,29.34,50.5282,42.8144,16.0205,26.4532,5.99427,117.899,80.3827,10.8525,40.4402,65.8231,62.2293,63.6935,40.6044,54.6938,68.9885,37.9952
2012-07-26,17.3005,23.3107,15.2786,26.84,51.4333,42.4315,16.1308,26.9356,6.07892,118.555,82.1419,11.0005,41.8966,66.5401,62.7521,64.3272,41.2755,55.5126,70.4321,38.8233
2012-07-27,17.6097,23.7777,15.8167,23.7,52.0168,43.5143,16.3612,27.7442,6.19746,122.632,85.1408,11.866,42.5305,66.6836,64.9106,65.5271,42.1836,56.1146,71.0738,39.2332
2012-07-30,17.9065,23.6945,15.7504,23.15,51.9649,43.4496,16.2762,27.1802,6.17231,123.619,84.5018,11.8045,42.1625,66.786,64.5564,64.7119,41.7405,56.1797,71.42,39.1519
2012-07-31,18.3817,23.5578,15.7669,21.71,51.7923,41.6767,16.5036,27.078,6.22279,122.363,84.5185,11.665,41.3186,66.8095,63.4387,64.8473,41.4979,55.7207,71.2796,38.8544
2012-08-01,18.2613,23.507,15.7599,20.88,51.9109,41.7772,16.5885,27.078,6.12114,121.882,83.8374,11.6045,40.9241,66.8607,62.2648,64.6246,41.4602,55.7635,71.8805,39.409
2012-08-02,18.2901,23.3333,15.6623,20.04,51.2175,41.683,16.5758,26.4532,6.08707,121.087,81.9283,11.5405,40.6895,66.9846,62.6199,64.2536,40.9768,55.1042,71.0651,39.0041
2012-08-03,18.5282,23.7777,15.9756,21.09,51.7168,42.1051,16.8246,27.1448,6.29899,124.471,84.5862,11.7485,41.4039,66.9846,64.0513,64.9386,42.1127,56.1729,72.2715,39.7588
2012-08-06,18.7355,23.9418,16.0124,21.92,51.5078,41.6073,16.811,27.301,6.47713,124.247,85.4603,11.6995,41.1753,67.0564,65.0536,64.6471,41.9174,56.1146,72.3925,39.8894
2012-08-07,18.684,24.1879,15.9556,20.72,51.096,42.8636,16.45,27.8394,6.50266,125.032,86.4786,11.828,41.4923,66.545,65.7096,65.6116,41.869,56.4083,72.8227,40.2874
2012-08-08,18.6546,24.2445,15.998,20.72,51.1391,43.0157,16.5114,27.9514,6.50266,124.795,85.8553,11.719,41.8004,65.4386,65.7096,66.0266,42.1266,56.6407,72.9339,40.8017
2012-08-09,18.7589,24.3805,16.001,21.01,51.1186,42.4391,16.5397,27.7668,6.54518,125.587,86.7854,11.703,42.0879,65.1553,66.5994,65.7725,42.1554,56.9568,73.2626,40.7445
2012-08-10,18.7895,24.315,15.9921,21.81,51.3568,42.3386,16.5885,27.807,6.56178,125.31,86.2963,11.6375,42.0123,65.9421,67.0029,66.1305,42.1836,57.1133,73.8537,40.8779
2012-08-13,19.0398,24.2903,16.4405,21.6,51.2245,42.3386,16.4363,27.8238,6.54518,125.736,86.7931,11.622,41.824,65.7208,66.7542,66.1933,41.9717,56.9179,73.6869,40.9021
2012-08-14,19.0922,24.2445,16.6561,20.38,51.3568,42.3994,16.6159,27.9024,6.59577,124.322,86.4963,11.6595,43.3215,65.8821,66.1979,66.3612,41.7692,56.9568,73.7054,40.9273
2012-08-15,19.0666,24.3003,16.6282,21.2,51.1391,43.0946,16.6577,27.8836,6.67226,126.484,86.3885,11.871,43.5531,65.65,66.0016,66.4769,41.7982,56.8314,73.799,40.8501
2012-08-16,19.2329,24.7662,16.7612,19.87,51.0283,43.557,16.6433,27.9024,6.72312,127.37,86.6943,12.0775,44.5884,65.3884,66.7414,66.8693,42.2763,57.2612,74.2955,41.0731
2012-08-17,19.5868,24.8649,16.8674,19.05,50.7283,43.3471,16.4851,27.8158,6.78215,128.48,86.7854,12.0585,44.92,65.3147,67.8089,67.1244,42.8104,57.0871,73.8614,40.9591
2012-08-20,20.1014,24.7358,16.8274,20.01,50.6556,43.4004,16.568,28.1047,6.90972,128.175,88.1829,12.0175,44.7935,65.9185,68.1334,67.7926,42.8104,56.7944,73.7736,40.7001
2012-08-21,19.8282,24.7806,16.6775,19.16,50.7164,43.5806,16.4147,28.6116,6.9434,128.295,88.2192,11.9725,44.5953,66.1841,68.02,68.1389,42.5249,56.4783,73.4215,40.4141
2012-08-22,20.2146,24.5746,16.8684,19.44,50.692,44.0291,16.4226,28.4535,6.96893,127.936,87.6791,12.155,44.8525,66.2067,66.8382,67.5816,42.3586,56.6543,73.5318,40.4498
2012-08-23,20.0254,24.3392,16.8589,19.44,50.6842,43.9891,16.45,28.0016,6.90972,127.437,87.1901,12.06,44.7778,65.9795,66.0174,66.9801,42.0733,56.3821,72.9601,40.0827
