Date,AAPL.US,NVDA.US,MSFT.US,AMZN.US,GOOGL.US,META.US,TSLA.US,AVGO.US,BRK-B.US,WMT.US,LLY.US,JPM.US,V.US,MA.US,ORCL.US,XOM.US,UNH.US,COST.US,PG.US
2012-05-18,15.9611,0.276976,23.3948,10.6925,14.9558,38.23,1.83733,2.21035,78.91,16.2375,31.0178,24.9786,25.658,37.1421,21.8851,52.2722,43.8837,63.2484,46.5799
2012-05-21,16.8913,0.28179,23.7777,10.9055,15.2976,34.03,1.918,2.27586,79.8,16.397,31.1654,24.2496,26.4671,38.6523,22.4407,52.6379,45.1507,63.8443,46.4842
2012-05-22,16.7595,0.278375,23.7865,10.7665,14.9657,31.0,2.05267,2.30237,79.65,16.5765,31.4487,25.3696,26.9673,38.9204,22.5249,52.5795,45.2893,63.5833,46.3105
2012-05-23,17.1702,0.285325,23.2717,10.864,15.1814,32.0,2.068,2.46798,79.75,16.7976,31.1981,25.5553,27.1443,39.2644,22.7983,52.6379,44.9997,63.7387,45.7502
2012-05-24,17.013,0.277675,23.2364,10.762,15.037,33.03,2.02133,2.3939,79.8,16.9253,31.5755,25.3372,27.2819,39.5215,22.321,53.0026,45.6997,64.6355,45.8814
2012-05-25,16.9222,0.284397,23.2296,10.6445,14.7345,31.91,1.98733,2.44112,79.25,16.9878,31.5329,24.9855,27.1893,38.9693,22.3378,52.6631,45.6133,64.6355,45.8232
2012-05-29,17.2227,0.291733,23.6282,10.7375,14.8048,28.84,2.11267,2.53641,79.82,17.0832,31.6805,25.0857,27.3953,39.1687,22.6112,52.5668,45.6398,66.2857,46.1626
2012-05-30,17.4287,0.288208,23.4513,10.4615,14.6528,28.19,2.02733,2.43408,78.83,17.0207,31.4438,24.5876,26.7601,38.745,22.3635,51.1957,45.6579,65.65,45.6999
2012-05-31,17.3842,0.285076,23.3333,10.6455,14.4691,29.6,1.96667,2.43698,79.36,17.1206,31.4131,24.7251,26.2393,38.2695,22.621,50.4478,45.3348,66.0924,45.6762
2012-06-01,16.8825,0.27465,22.7423,10.411,14.2229,27.72,1.87667,2.28094,79.02,17.05,30.8049,23.8183,25.5662,36.8809,22.2179,49.9926,44.7393,65.4028,45.1356
2012-06-04,16.9821,0.268957,22.8203,10.7285,14.4128,26.9,1.85867,2.24789,79.04,17.1644,30.7959,23.1237,26.0019,37.6794,22.3922,49.9382,44.6311,66.223,45.0241
2012-06-05,16.9389,0.276496,22.7823,10.6605,14.2085,25.87,1.86067,2.31249,79.12,17.036,31.1575,23.8655,25.9238,38.428,22.8211,49.7875,45.5438,66.3824,44.8525
2012-06-06,17.1981,0.284157,23.4601,10.882,14.4621,26.81,1.94333,2.42724,80.68,17.149,31.4576,24.6672,26.4963,39.5345,23.5224,51.4436,46.8991,67.1597,45.3181
2012-06-07,17.2058,0.272554,23.3636,10.94,14.4038,26.31,1.92867,2.42573,80.66,17.1321,31.6558,24.4756,26.6028,39.1368,23.2242,51.7723,46.6969,67.4247,46.0235
2012-06-08,17.463,0.277915,23.7034,10.924,14.4591,27.1,2.00533,2.49172,81.36,17.7437,31.8568,25.122,26.549,39.2155,23.2114,51.8686,47.146,67.892,46.0165
2012-06-11,17.1892,0.28114,23.0997,10.825,14.1612,27.0,1.94133,2.4475,80.28,17.5642,31.8261,24.4825,26.4982,38.9573,22.9122,51.503,46.7035,67.2553,45.8617
2012-06-12,17.3389,0.286841,23.4112,10.821,14.0765,27.4,1.97733,2.49726,81.26,17.6144,31.94,25.1898,26.6869,39.3242,23.1005,52.139,47.0158,67.7077,46.0235
2012-06-13,17.2187,0.279273,23.2863,10.7365,13.9763,27.27,1.98467,2.50611,80.59,17.4454,31.8876,25.5867,26.172,38.5746,23.0905,51.7354,47.3265,66.8876,45.8814
2012-06-14,17.1999,0.275817,23.4513,10.7225,13.9255,28.29,1.95933,2.46374,81.72,17.5913,32.0698,25.8441,26.5296,39.4488,22.9944,52.6943,48.338,68.7281,46.3303
2012-06-15,17.2769,0.28179,23.9985,10.9175,14.062,30.01,1.994,2.5198,82.57,17.6219,32.2114,26.128,26.9692,40.1675,23.6729,53.3945,48.0502,69.9567,46.1113
2012-06-18,17.6276,0.284397,23.8518,11.133,14.2194,31.41,2.12267,2.57069,82.15,17.7176,32.2471,25.8235,27.3582,40.0679,23.1747,53.3254,48.4738,70.4072,45.6792
2012-06-19,17.6778,0.303287,24.5396,11.2015,14.4855,31.91,2.13933,2.56637,82.98,17.6375,32.4393,26.3914,27.6378,40.2503,23.8938,54.2046,49.1624,70.2806,45.6199
2012-06-20,17.6266,0.308352,24.724,11.151,14.3858,31.6,2.252,2.60843,82.46,17.8225,32.2471,27.1872,27.9209,40.3659,24.3455,54.5177,48.6228,69.9976,44.2852
2012-06-21,17.3822,0.294402,24.0932,11.0285,14.079,31.84,2.146,2.54994,81.19,17.6089,32.0341,26.4866,27.2116,39.6491,23.765,52.6846,47.5981,69.1605,43.8136
2012-06-22,17.5173,0.297825,24.5396,11.108,14.2354,33.05,2.25267,2.57369,81.87,17.5056,32.2729,26.8413,28.4614,40.957,23.9254,52.6846,48.1898,69.5671,43.8747
2012-06-25,17.1762,0.288678,23.8675,11.0035,13.9668,32.06,2.20733,2.52986,80.47,17.7339,31.8104,26.3472,27.6191,40.339,23.6026,52.1264,47.0653,69.5213,43.4929
2012-06-26,17.2148,0.291933,23.9985,11.2805,14.066,33.1,2.10733,2.54364,81.33,17.8375,31.8876,26.633,28.0481,40.6918,23.7818,52.8694,47.9704,70.1481,43.4633
2012-06-27,17.2887,0.30122,24.1156,11.281,14.1811,32.23,2.13067,2.58092,81.98,17.8401,32.161,27.4386,28.1147,40.662,24.0721,53.3828,48.3712,69.8661,43.9842
2012-06-28,17.125,0.303487,23.9054,11.0655,14.0565,31.36,2.094,2.53737,82.34,17.7655,32.2917,26.7618,27.6738,39.6611,24.0721,53.3177,48.6228,71.0888,44.2111
2012-06-29,17.5745,0.316807,24.4535,11.4175,14.4496,31.09,2.086,2.65512,83.33,18.1341,32.9178,26.6516,28.1605,40.4905,25.3804,54.9038,47.7245,72.6801,44.9146
2012-07-02,17.8326,0.308132,24.4312,11.466,14.4596,30.77,2.02667,2.6245,83.65,18.0371,32.9772,27.0624,28.8394,41.4086,25.4636,54.756,45.8983,72.2217,44.8712
2012-07-03,18.0377,0.316407,24.5884,11.4765,14.6429,31.2,2.044,2.64307,83.78,18.4035,33.107,26.9838,28.7761,41.5891,25.6142,55.3561,44.7717,72.2367,44.9945
2012-07-05,18.355,0.313162,24.5396,11.353,14.8442,31.47,2.082,2.63145,83.22,18.4885,32.8673,25.855,28.9296,41.8273,25.3972,54.9048,45.5296,71.9148,44.9856
2012-07-06,18.2327,0.307233,24.1242,11.2525,14.5966,31.73,2.066,2.54994,82.54,18.5611,32.7247,25.4983,28.5338,41.605,24.9357,54.4078,45.5382,71.6727,44.9353
2012-07-09,18.4733,0.303057,23.9838,11.2525,14.5971,32.17,2.09933,2.46206,83.39,18.6647,32.9475,25.5396,28.1665,40.6271,24.8684,53.6716,45.7595,71.8929,45.1356
2012-07-10,18.3027,0.293953,23.7699,10.975,14.49,31.47,2.08467,2.4721,83.05,18.7559,32.8752,25.7626,27.8508,39.5873,24.8258,53.3254,45.4433,71.7643,45.2659
2012-07-11,18.1884,0.289108,23.42,10.9185,14.2284,30.97,2.10067,2.44788,84.09,18.794,32.8306,26.017,27.5018,39.5535,25.0288,54.1404,45.7214,72.2975,45.0221
2012-07-12,18.0229,0.284397,22.8899,10.768,14.2105,30.81,2.18,2.4093,83.54,18.8077,32.8593,25.6024,27.9328,39.9671,24.6802,53.9732,44.5192,71.9317,46.7101
2012-07-13,18.2042,0.287978,23.4905,10.9195,14.3609,30.72,2.28333,2.45126,84.48,19.0344,33.1863,27.1272,28.2671,40.4706,25.3319,54.8396,45.0347,72.5377,47.7321
2012-07-16,18.2642,0.288908,23.5325,10.8005,14.3211,28.25,2.39733,2.42141,83.98,18.9832,33.6331,26.3933,28.9597,41.1574,25.2775,54.5712,45.0015,72.7957,47.523
2012-07-17,18.2652,0.283698,23.7093,10.8465,14.3659,28.09,2.22333,2.44368,85.19,19.0145,33.7202,26.3147,29.205,41.0418,25.6231,55.0069,45.6007,73.4932,47.9206
2012-07-18,18.2435,0.299422,24.3382,10.8735,14.4666,29.11,2.14333,2.49906,84.98,18.9474,34.1423,26.294,29.1091,41.1504,26.1203,55.3113,45.9712,73.4136,47.9442
2012-07-19,18.4881,0.302389,24.5151,11.3085,14.773,29.0,2.15133,2.66513,84.63,18.6051,34.057,25.9188,28.5563,40.3131,26.4244,55.3132,44.8583,73.4056,48.0193
2012-07-20,18.1846,0.293733,24.0687,11.4145,15.2154,28.76,2.11933,2.60928,83.83,18.7904,33.8807,25.4983,28.6383,39.8615,25.7826,55.1488,45.2067,73.1534,47.8772
2012-07-23,18.1716,0.297615,23.4026,11.3005,15.3324,28.75,2.044,2.55078,83.59,18.6885,33.6181,25.905,28.3519,39.1896,25.3894,54.6704,44.4678,72.2147,47.6276
2012-07-24,18.0839,0.294402,23.3022,11.152,15.1347,28.45,1.98933,2.5278,83.7,18.7627,32.2016,26.1202,27.9348,38.6134,25.109,54.2658,44.7889,71.9756,47.3523
2012-07-25,17.3035,0.300121,23.0441,10.8525,15.1451,29.34,1.93,2.52986,84.04,18.7481,33.0753,26.4532,27.8341,38.8427,25.0566,54.6938,42.8144,71.7265,47.3523
2012-07-26,17.3005,0.301469,23.3107,11.0005,15.2786,26.84,1.87533,2.62112,84.67,19.1614,33.4518,26.9356,28.876,39.9213,25.6894,55.5126,42.4315,73.3746,47.7529
2012-07-27,17.6097,0.30908,23.7777,11.866,15.8167,23.7,1.96733,2.6723,85.2,19.3828,34.0363,27.7442,29.4142,41.1444,26.351,56.1146,43.5143,74.2974,48.1455
2012-07-30,17.9065,0.305554,23.6945,11.8045,15.7504,23.15,1.82333,2.66046,85.23,19.5016,33.7895,27.1802,29.7981,41.5572,26.1837,56.1797,43.4496,73.7962,48.1525
2012-07-31,18.3817,0.310447,23.5578,11.665,15.7669,21.71,1.828,2.7289,84.84,19.359,33.7757,27.078,29.3984,41.1255,25.8628,55.7207,41.6767,73.584,47.7411
2012-08-01,18.2613,0.306983,23.507,11.6045,15.7599,20.88,1.75,2.71332,84.62,19.1474,33.642,27.078,29.0322,40.2443,25.9638,55.7635,41.7772,73.3946,47.3455
2012-08-02,18.2901,0.308132,23.3333,11.5405,15.6623,20.04,1.74,2.70241,84.08,19.2597,33.2279,26.4532,29.4453,39.8874,25.6231,55.1042,41.683,73.2192,46.9775
2012-08-03,18.5282,0.314588,23.7777,11.7485,15.9756,21.09,1.818,2.74448,85.58,19.3913,33.8658,27.1448,29.8316,39.9552,26.3085,56.1729,42.1051,74.3721,48.4475
2012-08-06,18.7355,0.321222,23.9418,11.6995,16.0124,21.92,1.88467,2.74177,85.15,19.32,33.531,27.301,29.8421,39.5495,26.5482,56.1146,41.6073,73.825,48.6772
2012-08-07,18.684,0.324434,24.1879,11.828,15.9556,20.72,2.01667,2.76597,84.67,19.2441,32.7949,27.8394,29.7014,39.2275,26.973,56.4083,42.8636,73.291,48.9782
2012-08-08,18.6546,0.326203,24.2445,11.719,15.998,20.72,1.93933,2.77189,84.65,19.432,32.8673,27.9514,29.8715,39.9851,26.6848,56.6407,43.0157,73.3706,49.3482
2012-08-09,18.7589,0.337377,24.3805,11.703,16.001,21.01,1.96067,2.75998,84.54,19.3118,32.7722,27.7668,29.2704,40.1257,26.8621,56.9568,42.4391,73.1774,49.356
2012-08-10,18.7895,0.335258,24.315,11.6375,15.9921,21.81,1.996,2.74758,84.77,19.2678,33.4458,27.807,29.4033,40.1336,27.0652,57.1133,42.3386,73.1236,49.3896
2012-08-13,19.0398,0.339553,24.2903,11.622,16.4405,21.6,2.078,2.68214,84.99,19.1949,33.2091,27.8238,29.2245,40.0957,26.8543,56.9179,42.3386,73.3706,49.1715
2012-08-14,19.0922,0.334579,24.2445,11.6595,16.6561,20.38,1.96133,2.67359,84.94,19.3548,33.1496,27.9024,29.5851,40.326,26.8443,56.9568,42.3994,73.4016,49.356
2012-08-15,19.0666,0.332046,24.3003,11.871,16.6282,21.2,1.96,2.70505,84.71,19.4688,33.3448,27.8836,29.4473,40.2333,27.0166,56.8314,43.0946,74.0164,49.2929
2012-08-16,19.2329,0.338903,24.7662,12.0775,16.7612,19.87,2.02,2.72971,85.22,18.8669,33.1665,27.9024,29.5881,40.3659,27.4297,57.2612,43.557,74.0234,49.5553
2012-08-17,19.5868,0.335957,24.8649,12.0585,16.8674,19.05,2.00067,2.72467,85.87,18.8269,32.9099,27.8158,29.3643,40.2064,27.5743,57.0871,43.3471,73.7662,49.5553
2012-08-20,20.1014,0.335957,24.7358,12.0175,16.8274,20.01,1.96733,2.6595,85.75,18.9073,32.8465,28.1047,29.2384,40.2443,27.4367,56.7944,43.4004,73.6746,49.3718
2012-08-21,19.8282,0.335008,24.7806,11.9725,16.6775,19.16,1.94067,2.69041,85.22,18.6787,32.7455,28.6116,29.0908,39.8765,27.189,56.4783,43.5806,73.1136,49.3896
2012-08-22,20.2146,0.335707,24.5746,12.155,16.8684,19.44,1.99667,2.69875,85.69,18.7683,32.7157,28.4535,29.2245,39.6791,27.1474,56.6543,44.0291,73.295,49.4478
2012-08-23,20.0254,0.32805,24.3392,12.06,16.8589,19.44,2.04867,2.66343,85.15,18.7126,32.893,28.0016,29.0076,39.4079,27.0424,56.3821,43.9891,72.6901,49.3196
2012-08-24,20.043,0.334779,24.5904,12.287,16.9047,19.41,1.96667,2.66589,85.39,18.8575,34.0283,27.9593,28.8981,39.7977,27.3613,56.8606,44.1848,73.847,49.5721
2012-08-27,20.4234,0.328949,24.6959,12.196,16.6701,19.15,1.888,2.64533,85.41,18.9585,34.593,28.0016,29.123,39.8864,27.2564,56.663,44.5495,74.1479,49.6352
2012-08-28,20.3959,0.327591,24.6471,12.3055,16.8699,19.34,1.91267,2.68214,84.92,18.936,34.686,27.925,29.0643,39.9981,27.0424,56.8936,44.3234,74.0941,49.5475
2012-08-29,20.3554,0.32827,24.6626,12.356,17.1379,19.1,1.894,2.70684,84.55,19.0288,35.0447,28.0576,29.205,40.1137,26.9652,56.7662,44.5732,74.5077,49.4596
2012-08-30,20.0628,0.32217,24.3968,12.311,16.9804,19.09,1.894,2.66343,84.01,18.8937,34.8317,27.75,28.907,39.6551,26.6928,56.313,44.6161,75.6446,49.4675
2012-08-31,20.1044,0.3217,24.7974,12.4135,17.0651,18.06,1.90133,2.70429,84.34,18.9859,34.8406,27.9338,29.2607,39.8375,27.1039,56.3781,44.2968,75.0925,49.6974
2012-09-04,20.4007,0.304217,24.4545,12.394,16.9646,17.73,1.876,2.65442,84.25,19.2235,35.1379,27.8394,29.3233,39.9781,27.0335,56.2614,44.5105,75.3069,49.8513
2012-09-05,20.2569,0.305314,24.4545,12.311,16.9566,18.58,1.86267,2.60168,85.19,19.2337,35.541,27.9092,29.1111,39.7638,27.4633,56.3966,44.2777,75.3607,49.7724
2012-09-06,20.4403,0.314788,25.2153,12.569,17.4219,18.96,1.90333,2.70758,86.47,19.5632,36.3157,29.099,29.5499,40.7536,27.9418,57.4703,44.7823,76.7128,50.4738
2012-09-07,20.5644,0.307233,24.9049,12.957,17.5902,18.98,1.95667,2.67699,86.64,19.3044,36.1908,29.5577,29.5948,41.0926,27.915,58.0684,44.7727,76.5086,50.6819
2012-09-10,20.0294,0.304435,24.7182,12.8545,17.4557,18.81,1.82467,2.58844,86.61,19.2235,36.0879,29.154,29.3614,41.2132,27.6694,57.7843,43.8382,77.0706,50.6751
2012-09-11,19.965,0.308132,24.7738,12.7835,17.2425,19.43,1.85333,2.58573,86.76,19.3665,36.069,29.7847,29.9973,41.7236,27.6773,57.8729,43.0812,76.3621,50.4896
2012-09-12,20.2432,0.311614,24.7662,12.7815,17.2096,20.93,1.88533,2.60514,86.73,19.3692,36.1097,30.0215,30.4479,42.0526,27.6258,57.832,43.2655,77.4094,50.3712
2012-09-13,20.6393,0.313662,24.8873,13.012,17.5872,20.71,1.96533,2.59371,88.56,19.6483,36.5793,31.1375,30.7959,42.885,27.9328,58.9115,44.1439,78.8354,50.9681
2012-09-14,20.8927,0.317307,25.1128,13.0635,17.6779,22.0,2.026,2.59294,88.7,19.4818,36.2443,31.2681,30.6299,42.7853,28.2162,59.6069,44.4383,78.3989,51.1546
2012-09-17,21.1498,0.308612,25.1128,12.9,17.6854,21.52,2.16933,2.60928,88.52,19.3489,36.3316,30.9813,30.5427,42.7205,28.3439,59.356,44.6245,78.4517,51.2236
2012-09-18,21.2148,0.310675,25.0786,12.9375,17.8921,21.87,2.08933,2.61237,88.61,19.3385,36.393,31.0305,30.4949,42.6727,28.2736,59.1847,45.1563,78.2554,51.1999
2012-09-19,21.2198,0.31434,24.9849,13.084,18.1217,23.29,2.07,2.60366,88.95,19.4489,36.3534,31.0973,30.7518,42.5689,28.0725,58.4885,45.013,78.1697,51.2295
2012-09-20,21.1183,0.312063,25.3061,13.0405,18.1372,22.59,2.06,2.50721,89.33,19.548,36.4781,31.0245,30.7117,42.7853,27.6258,59.1021,45.0034,78.7516,51.4485
2012-09-21,21.1598,0.313292,25.0964,12.8735,18.2837,22.86,2.00133,2.6382,89.54,19.4688,36.817,30.7485,30.8006,43.2887,27.8051,59.3608,46.0167,78.5374,51.3479
2012-09-24,20.8788,0.313162,24.7662,12.74,18.6668,20.79,2.044,2.5705,88.66,19.5453,36.7723,31.0098,30.5135,42.888,27.5902,59.3345,45.8514,78.7288,51.5994
2012-09-25,20.3584,0.307433,24.4545,12.623,18.6613,20.28,1.844,2.45219,88.12,19.4189,36.808,30.4989,30.7019,42.5351,26.8027,59.2461,46.0339,77.8319,51.4752
2012-09-26,20.1024,0.302189,24.2731,12.4835,18.7685,20.62,1.836,2.48562,88.33,19.401,36.6179,30.2631,30.233,41.9997,26.3164,58.9115,45.6919,77.4951,51.2591
2012-09-27,20.592,0.304217,24.2671,12.8295,18.8442,20.32,1.89933,2.59284,88.26,19.3463,36.9586,30.5962,30.5513,42.5949,26.7334,59.2839,46.0642,76.957,51.2591
2012-09-28,20.1615,0.305784,23.9466,12.716,18.7944,21.66,1.952,2.59004,88.2,19.2988,36.7803,30.4469,30.6365,42.5311,26.9424,59.0545,45.3852,76.8494,51.3035
2012-10-01,19.9289,0.300521,23.7297,12.6005,18.9758,21.99,1.944,2.57695,88.66,19.3643,36.9022,30.8153,31.1936,43.0395,27.1217,59.2831,46.2468,77.1194,51.3695
2012-10-02,19.985,0.301939,23.8645,12.53,18.8566,22.27,1.98667,2.55708,88.83,19.2867,37.1904,30.7779,31.0305,43.1132,27.1039,59.2306,46.5249,76.3382,50.8802
2012-10-03,20.2944,0.298763,24.0287,12.796,18.9936,21.83,1.95333,2.56815,89.49,19.4037,37.4787,30.9617,31.6048,44.6315,27.2484,59.2189,46.5751,76.4338,51.1614
