Date,AAPL.US,NVDA.US,MSFT.US,AMZN.US,GOOGL.US,GOOG.US,META.US,TSLA.US,AVGO.US,BRK-B.US,WMT.US,LLY.US,JPM.US,V.US,MA.US,ORCL.US,XOM.US,UNH.US,COST.US,PG.US
2015-11-02,27.2974,0.697568,46.6449,31.4175,37.2519,36.0555,103.31,14.2527,9.67965,138.4,16.2169,70.3123,53.8456,70.2346,95.2401,35.4633,60.4851,101.981,139.587,62.7455
2015-11-03,27.6167,0.692735,47.445,31.2655,37.3057,36.108,102.58,13.89,9.55334,137.94,16.3569,69.9953,54.0412,72.737,95.9549,35.8684,61.5986,101.117,139.258,63.1155
2015-11-04,27.4817,0.681423,47.6638,32.0475,37.6291,36.4055,103.94,15.442,9.70422,137.43,16.4296,69.4633,54.0962,73.1535,96.3287,36.1179,60.98,98.5145,137.823,63.1253
2015-11-05,27.3595,0.673585,47.647,32.7825,37.8962,36.5625,108.76,15.4513,9.46457,136.57,16.4977,69.0889,54.5816,74.0045,96.4922,35.9962,60.1515,99.8998,137.056,62.5748
2015-11-06,27.3929,0.766897,48.12,32.9685,37.9424,36.688,107.1,15.4907,10.1384,136.38,16.5459,68.959,56.2428,73.5296,97.2778,36.2398,59.9103,98.6574,138.152,61.903
2015-11-09,27.2747,0.76348,47.4519,32.7745,37.6021,36.2445,106.49,15.022,9.88912,134.0,16.4642,68.015,55.3655,72.8659,96.2839,35.7733,58.6295,98.1734,136.069,61.7619
2015-11-10,26.4184,0.74888,46.8823,32.984,37.776,36.416,107.91,14.4333,9.37192,134.73,16.5172,69.0512,55.6003,74.3415,96.4533,35.6168,58.9115,99.6049,137.534,62.0657
2015-11-11,26.2714,0.741573,47.0064,33.6625,38.1243,36.77,109.01,14.6053,9.37948,134.96,16.2078,69.6009,55.3302,74.0621,96.6716,34.8333,58.3932,98.4305,137.514,62.2226
2015-11-12,26.1818,0.738896,46.7164,33.28,37.6898,36.5615,108.02,14.196,9.37099,132.78,16.031,68.8799,54.222,73.251,94.1864,34.4639,56.811,96.9562,137.175,61.1582
2015-11-13,25.412,0.72436,46.2953,32.1175,36.8698,35.85,103.95,13.8127,9.1903,131.96,15.8812,68.6114,53.8614,73.0587,92.8257,33.2803,55.8734,95.7417,135.102,60.5859
2015-11-16,25.831,0.738896,47.102,32.3905,37.3855,36.448,104.04,14.2873,9.4995,133.3,16.2899,70.0607,54.6424,73.8022,94.2064,34.0142,57.8768,97.8123,137.574,61.6819
2015-11-17,25.7245,0.738896,46.7231,32.165,37.1642,36.265,105.13,14.2667,9.54667,133.09,16.8667,70.1201,54.329,73.7338,93.9861,34.0222,57.2077,98.2871,139.716,61.4926
2015-11-18,26.5297,0.75713,47.4987,33.177,37.8632,37.0,107.77,14.738,9.84574,136.22,17.1513,72.1479,55.4146,75.2591,95.0328,34.5273,57.7639,100.765,141.779,62.1723
2015-11-19,26.8756,0.759296,47.5799,33.0635,37.8597,36.9205,106.26,14.7867,9.79016,136.63,17.0858,72.2074,55.5846,74.9708,94.8124,34.8135,57.4478,95.0669,143.164,62.4367
2015-11-20,26.9959,0.765897,47.7996,33.4225,38.7097,37.83,107.32,14.6673,9.88253,136.63,16.9087,72.8563,55.4883,75.0088,95.3568,35.0978,57.0842,97.0998,143.403,62.1091
2015-11-23,26.6342,0.754435,47.7996,33.9495,38.6948,37.799,106.95,14.5167,9.72783,135.99,16.962,73.087,54.946,74.9337,95.2302,34.9195,57.4343,96.3675,143.722,62.2314
