Date,AAPL.US,MSFT.US,GOOGL.US,META.US,NVDA.US,ADBE.US,CSCO.US,CRM.US,JNJ.US,UNH.US,PFE.US,ABBV.US,MRK.US,LLY.US,TMO.US,JPM.US,BAC.US,BLK.US,GS.US,WFC.US,C.US,SPGI.US,AMZN.US,HD.US,MCD.US,LOW.US,NKE.US,SBUX.US,CAT.US,LMT.US,HON.US,GE.US,UNP.US,BA.US,XOM.US,CVX.US,COP.US,SLB.US,EOG.US,MPC.US
2013-01-04,16.0015,21.6903,18.3824,28.76,0.303387,38.13,15.1065,42.403,54.4989,42.838,18.151,22.8398,28.939,40.407,63.0571,34.6036,10.2916,159.225,113.635,26.2264,35.1878,48.9896,12.9575,50.5118,68.3154,29.941,23.6672,23.3497,71.9402,69.8196,48.0541,109.366,52.8149,65.099,57.8087,73.0704,43.1943,55.2028,50.8527,22.8853
2013-01-07,15.9051,21.6542,18.3026,29.42,0.294671,37.94,14.9651,42.245,54.3841,42.838,18.1636,22.8888,29.0435,40.3565,63.5432,34.6429,10.2729,158.893,113.439,26.0991,35.2162,49.06,13.423,50.24,69.1149,29.2458,23.7018,23.3624,72.1592,70.0561,48.074,109.01,52.5604,63.792,57.1405,72.5798,42.7218,55.354,50.9297,22.0439
2013-01-08,15.9484,21.5401,18.2663,29.06,0.288238,38.14,14.9788,42.493,54.392,42.2682,18.1919,22.3916,29.0834,40.6587,63.1518,34.7126,10.1806,156.48,112.431,26.0517,35.2113,48.8108,13.319,50.5442,69.1405,29.2636,23.452,23.3223,71.2438,69.122,47.6257,107.823,52.526,62.117,57.4947,72.2491,42.1429,55.5853,50.1848,22.5201
2013-01-09,15.7,21.6611,18.3863,30.59,0.28177,38.66,14.9709,42.958,54.6371,43.0708,18.5042,22.5171,29.3657,41.5146,65.3314,34.69,9.7132,156.86,113.498,26.0488,34.8619,48.6767,13.3175,50.504,69.0451,29.3516,23.4738,22.9078,71.5762,69.8872,48.2052,108.077,52.8149,64.319,57.2757,72.4374,42.0579,55.3451,50.3815,22.8391
2013-01-10,15.8921,21.4666,18.47,31.3,0.28227,38.62,15.0731,43.28,54.9863,43.6758,18.7091,22.5808,29.4961,41.7345,65.1447,35.2078,10.0088,159.763,116.066,26.5709,35.5157,48.2766,13.267,50.8641,69.4927,29.9153,23.5154,22.8706,72.0635,69.9765,48.1195,109.217,52.8916,64.6,57.8972,73.0499,42.2377,56.1527,50.9761,22.9727
2013-01-11,15.7976,21.7646,18.4332,31.72,0.28177,38.09,15.1065,43.338,55.1128,43.4357,18.5403,22.7515,29.8073,41.6245,65.1546,35.2009,9.88114,161.397,115.841,26.3458,35.1115,47.8943,13.397,50.9279,69.7435,30.1507,23.7634,23.0659,72.1473,69.6783,48.0399,109.01,52.8463,62.979,58.2327,73.8819,42.0705,56.5342,50.7832,22.6801
2013-01-14,15.2339,21.8154,18.0158,30.95,0.28157,38.16,15.4649,43.503,55.2688,43.8808,18.6945,22.9094,29.8831,41.3828,65.1645,35.0005,9.74659,162.238,115.008,26.0991,35.0116,48.5358,13.6365,50.7523,69.592,29.769,23.806,22.9255,71.7222,69.8274,48.3639,108.964,52.9986,64.145,58.2104,74.6271,42.2135,55.782,50.393,22.9147
2013-01-15,14.7518,22.0722,18.0575,30.1,0.276416,38.15,15.4718,43.663,55.1235,44.0946,18.6097,23.2537,29.561,41.7642,65.3412,35.36,9.81533,163.042,114.586,26.3538,35.3024,48.4741,13.595,51.1281,69.5743,30.2337,24.0073,22.8431,72.5104,69.9099,48.4524,109.366,53.034,64.472,58.1783,75.0202,42.6194,55.6465,50.6437,23.5107
2013-01-16,15.365,21.9355,17.8154,29.85,0.278974,37.88,15.51,42.41,55.2825,44.1289,18.6018,23.8833,29.3333,41.4839,65.3214,35.7196,10.0088,162.285,119.212,26.339,35.225,47.7523,13.4465,51.0574,69.2615,30.0983,24.047,22.7881,72.1473,69.5586,48.3412,108.964,53.0036,62.293,58.1422,75.3694,42.5121,56.127,50.7511,23.6865
2013-01-17,15.2624,22.1067,17.7188,30.14,0.28274,37.73,15.4501,42.783,55.5256,44.7374,18.7579,24.4786,29.4759,41.7979,66.4864,35.4278,9.58455,169.418,119.134,26.2926,34.1962,48.0085,13.524,52.0074,69.7661,31.1328,23.9348,22.8529,72.5311,70.4505,48.7638,109.875,53.1303,63.065,58.613,75.8834,42.6996,56.2426,51.0171,23.9201
