Date,AAPL.US,MSFT.US,GOOGL.US,META.US,JNJ.US,UNH.US,PFE.US,JPM.US
2015-11-02,27.2974,46.6449,37.2519,103.31,84.2303,101.981,26.8785,53.8456
2015-11-03,27.6167,47.445,37.3057,102.58,84.0568,101.117,26.8102,54.0412
2015-11-04,27.4817,47.6638,37.6291,103.94,84.0401,98.5145,26.3847,54.0962
2015-11-05,27.3595,47.647,37.8962,108.76,84.3647,99.8998,26.3944,54.5816
2015-11-06,27.3929,48.12,37.9424,107.1,84.0224,98.6574,26.2236,56.2428
2015-11-09,27.2747,47.4519,37.6021,106.49,83.1319,98.1734,26.006,55.3655
2015-11-10,26.4184,46.8823,37.776,107.91,83.6449,99.6049,26.1153,55.6003
2015-11-11,26.2714,47.0064,38.1243,109.01,83.9715,98.4305,26.0792,55.3302
2015-11-12,26.1818,46.7164,37.6898,108.02,82.6692,96.9562,25.8079,54.222
2015-11-13,25.412,46.2953,36.8698,103.95,82.3406,95.7417,25.7143,53.8614
2015-11-16,25.831,47.102,37.3855,104.04,83.4527,97.8123,25.6283,54.6424
2015-11-17,25.7245,46.7231,37.1642,105.13,83.6832,98.2871,25.4059,54.329
2015-11-18,26.5297,47.4987,37.8632,107.77,84.6373,100.765,25.7425,55.4146
2015-11-19,26.8756,47.5799,37.8597,106.26,84.4941,95.0669,24.9589,55.5846
2015-11-20,26.9959,47.7996,38.7097,107.32,85.1081,97.0998,24.8729,55.4883
2015-11-23,26.6342,47.7996,38.6948,106.95,85.3542,96.3675,24.2172,54.946
2015-11-24,26.8973,47.8533,38.3426,105.74,84.7412,97.2902,24.707,54.8616
2015-11-25,26.7021,47.357,38.3241,105.41,84.6756,98.3049,25.4059,54.9294
2015-11-27,26.6479,47.5709,38.4591,105.45,85.0139,98.239,25.3434,55.1838
2015-11-30,26.7663,47.9401,38.0047,104.24,84.0793,96.8732,25.3288,54.78
2015-12-01,26.5366,48.7068,39.0479,107.12,85.0079,99.9296,25.9855,55.5453
2015-12-02,26.3109,48.6979,38.752,106.07,84.7511,101.544,25.4283,54.7632
2015-12-03,26.0655,47.8094,38.2713,104.38,83.7017,99.2562,25.033,54.0588
2015-12-04,26.9318,49.3164,38.8197,106.18,85.5082,101.621,25.3492,55.7722
2015-12-07,26.7613,49.2286,38.5099,105.61,85.8151,100.054,25.2429,55.0472
2015-12-08,26.7484,49.2108,38.617,106.49,85.054,100.025,25.1423,54.1866
2015-12-09,26.1572,48.4967,37.9898,104.6,84.8393,99.3031,24.9589,53.776
2015-12-10,26.2843,48.7528,37.8647,105.42,85.2443,100.301,25.0096,53.8998
2015-12-11,25.6093,47.6833,37.3855,102.12,84.448,100.099,24.7783,52.6353
2015-12-14,25.4448,48.6365,37.9893,104.66,84.8393,99.9981,24.8729,52.7994
2015-12-15,24.9982,48.6883,37.8672,104.55,86.4809,101.516,24.9335,54.3026
2015-12-16,25.1874,49.5119,38.6893,106.79,87.4036,102.559,25.1794,55.4795
2015-12-17,24.6532,49.1317,38.3524,106.22,86.0651,102.892,24.9853,54.4498
2015-12-18,23.9919,47.7459,37.7058,104.04,84.6667,99.9683,24.7237,52.9094
2015-12-21,24.2809,48.3641,37.9026,104.77,84.3647,101.335,25.0868,53.8456
2015-12-22,24.2612,48.823,38.2179,105.51,85.3022,101.363,25.1336,53.9606
2015-12-23,24.5735,49.2384,38.2866,104.63,85.9435,102.448,25.1648,54.8212
2015-12-24,24.4453,49.1025,38.1537,105.02,86.1328,102.133,25.2116,54.7162
2015-12-28,24.1625,49.3515,38.9707,105.93,85.7288,102.123,25.0594,54.5364
2015-12-29,24.5982,49.8809,39.5547,107.26,86.3937,103.417,25.3726,55.0983
2015-12-30,24.2789,49.6689,39.3723,106.22,86.1858,102.644,25.3131,54.7072
2015-12-31,23.8177,48.9353,38.76,104.66,85.3101,101.544,24.9501,54.2504
2016-01-04,23.8381,48.3376,37.8348,102.22,83.4527,100.49,24.6935,52.6186
2016-01-05,23.2372,48.5564,37.9389,102.73,83.7948,100.698,24.8729,52.708
2016-01-06,22.7829,47.6755,37.8293,102.97,83.3752,99.6933,24.4289,51.9486
2016-01-07,21.821,46.0178,36.9162,97.92,82.4053,96.7476,24.268,49.8491
2016-01-08,21.9353,46.1565,36.4135,97.33,81.5197,95.0766,23.9586,48.7281
2016-01-11,22.292,46.1305,36.5211,97.51,81.0334,94.5923,24.0133,48.6574
2016-01-12,22.6142,46.554,37.1324,99.37,81.5905,96.8991,23.9586,48.7625
